CB000001,Hoang Dinh Vu,0265884283,NH07
CB000002,Do Quoc Van,0929855043,NH03
CB000003,Van Bao Tuyen,0508261466,NH04
CB000004,Huynh Bao Van,0600247074,NH02
CB000005,Trinh Trong Duy,0228683079,NH06
CB000006,Hoang Huynh Duong,0793764795,NH05
CB000007,Tran Thi Tu,0461335942,NH02
CB000008,The Tuan Long,0342668097,NH04
CB000009,Vu Duy Nhan,0394196492,NH03
CB000010,Phung Viet Tien,0138851243,NH06
CB000011,Vu Anh Tuyet,0693985350,NH02
CB000012,Do Lan Tuyet,0393944953,NH05
CB000013,Hua Quyet Nguyet,0807743060,NH02
CB000014,Trinh Hoang Dieu,0841044930,NH02
CB000015,Phan Tien Xuan,0409048255,NH11
CB000016,Duong Dinh Xuan,0529111035,NH01
CB000017,Bui Tien Duong,0232287653,NH05
CB000018,Vu Quoc Lam,0889309685,NH01
CB000019,Dao Le Tien,0310772895,NH03
CB000020,Trinh Trong Tuyet,0761480010,NH07
CB000021,Do Thi Quan,0850872743,NH05
CB000022,Hoang Quyet Ngan,0162004114,NH08
CB000023,Dinh Viet Son,0187444711,NH05
CB000024,Dinh Le Cong,0284837080,NH02
CB000025,Truong Trong Diep,0493362030,NH04
CB000026,Hoang Thi Linh,0398807224,NH10
CB000027,Ly Thi Nguyet,0824372036,NH03
CB000028,Pham Hoang Cong,0575678626,NH02
CB000029,Nong Sy Tien,0462397071,NH02
CB000030,Do Le Tien,0149211070,NH03
CB000031,Bui Lan Son,0945131194,NH01
CB000032,Ngo Huynh Vu,0239324491,NH06
CB000033,Hoang Vu Quynh,0274850007,NH06
CB000034,Phung Lan Nhan,0172318837,NH10
CB000035,Truong Bao Son,0965192170,NH04
CB000036,Dang Van Dieu,0308255762,NH05
CB000037,Dang Duy Duong,0465330635,NH03
CB000038,Dang Dinh Lam,0901166754,NH09
CB000039,Dang Trong Quynh,0524665809,NH02
CB000040,Hoang Quyet Hue,0243397723,NH06
CB000041,Doan Quoc Manh,0430644788,NH02
CB000042,Truong Quoc Minh,0629189998,NH01
CB000043,Dao Vu Ngan,0405790564,NH02
CB000044,Ho Bao Khanh,0484499742,NH02
CB000045,Ly Bao Bao,0708220501,NH01
CB000046,Nguyen Hoang Tuyet,0420685677,NH11
CB000047,Dinh Trong Son,0428311845,NH02
CB000048,Truong Tien Nguyet,0487003433,NH05
